Instance	Objective	Scheduling	Heuristic	Metaheuristic	Duration (in s)
instance1	21007	ratio value/weightOfMostCriticalDimension crescent	Static	Local Research	0.960078
instance2	22280	ratio value/totalWeight descending	Dynamic	Local Research	0.522080
instance3	21542	ratio value/totalWeight descending	Dynamic	Local Research	0.505360
instance4	21046	ratio value/weightOfMostCriticalDimension crescent	Dynamic	Local Research	0.393714
instance5	21399	ratio value/totalWeight descending	Dynamic	Local Research	1.544654
instance6	23719	ratio value/totalWeight descending	Dynamic	Local Research	0.578584
instance7	23920	ratio value/totalWeight descending	Static	Local Research	1.433208
instance8	21911	ratio value/totalWeight descending	Dynamic	Local Research	0.411812
instance9	21614	ratio value/totalWeight descending	Dynamic	Local Research	0.536620
instance10	23705	ratio value/totalWeight descending	Dynamic	Local Research	0.539980
instance11	41331	ratio value/totalWeight descending	Static	Local Research	0.739246
instance12	40362	ratio value/totalWeight descending	Dynamic	Local Research	0.814128
instance13	39471	ratio value/totalWeight descending	Static	Local Research	0.882736
instance14	41204	ratio value/totalWeight descending	Static	Local Research	1.559204
instance15	39319	ratio value/totalWeight descending	Static	Local Research	0.700754
instance16	40410	ratio value/totalWeight descending	Dynamic	Local Research	0.791398
instance17	38601	ratio value/totalWeight descending	Dynamic	Local Research	0.885078
instance18	42909	ratio value/totalWeight descending	Dynamic	Local Research	0.749814
instance19	40392	ratio value/totalWeight descending	Static	Local Research	0.803406
instance20	42749	ratio value/totalWeight descending	Static	Local Research	0.728506
instance21	59504	ratio value/totalWeight descending	Dynamic	Local Research	0.524788
instance22	59384	ratio value/totalWeight descending	Dynamic	Local Research	0.445130
instance23	58617	ratio value/totalWeight descending	Dynamic	Local Research	0.456442
instance24	59356	ratio value/totalWeight descending	Dynamic	Local Research	0.341814
instance25	60505	ratio value/totalWeight descending	Dynamic	Local Research	0.540580
instance26	57139	ratio value/weightOfMostCriticalDimension crescent	Dynamic	Local Research	0.565522
instance27	59559	ratio value/totalWeight descending	Static	Local Research	0.480836
instance28	59804	descending	Static	Local Research	0.421432
instance29	57537	ratio value/totalWeight descending	Dynamic	Local Research	0.448936
instance30	58878	ratio value/totalWeight descending	Static	Local Research	0.369386
instance1	21007	ratio value/weightOfMostCriticalDimension crescent	Static	Local Research	1.019018
instance2	22280	ratio value/totalWeight descending	Dynamic	Local Research	0.520420
instance3	21542	ratio value/totalWeight descending	Dynamic	Local Research	0.544594
instance4	21046	ratio value/weightOfMostCriticalDimension crescent	Dynamic	Local Research	0.422154
instance5	21399	ratio value/totalWeight descending	Dynamic	Local Research	1.736890
instance6	23719	ratio value/totalWeight descending	Dynamic	Local Research	0.555246
instance7	23920	ratio value/totalWeight descending	Static	Local Research	1.837312
instance8	21911	ratio value/totalWeight descending	Dynamic	Local Research	0.538450
instance9	21614	ratio value/totalWeight descending	Dynamic	Local Research	0.636682
instance10	23705	ratio value/totalWeight descending	Dynamic	Local Research	0.430740
instance11	41331	ratio value/totalWeight descending	Static	Local Research	0.572076
instance12	40362	ratio value/totalWeight descending	Dynamic	Local Research	0.721182
instance13	39471	ratio value/totalWeight descending	Static	Local Research	0.796572
instance14	41204	ratio value/totalWeight descending	Static	Local Research	1.241834
instance15	39319	ratio value/totalWeight descending	Static	Local Research	0.482916
instance16	40410	ratio value/totalWeight descending	Dynamic	Local Research	0.576106
instance17	38601	ratio value/totalWeight descending	Dynamic	Local Research	0.639450
instance18	42909	ratio value/totalWeight descending	Dynamic	Local Research	0.549236
instance19	40392	ratio value/totalWeight descending	Static	Local Research	0.601390
instance20	42749	ratio value/totalWeight descending	Static	Local Research	0.490026
instance21	59504	ratio value/totalWeight descending	Dynamic	Local Research	0.382810
instance22	59384	ratio value/totalWeight descending	Dynamic	Local Research	0.404070
instance23	58617	ratio value/totalWeight descending	Dynamic	Local Research	0.348292
instance24	59356	ratio value/totalWeight descending	Dynamic	Local Research	0.307364
instance25	60505	ratio value/totalWeight descending	Dynamic	Local Research	0.445732
instance26	57139	ratio value/weightOfMostCriticalDimension crescent	Dynamic	Local Research	0.453474
instance27	59559	ratio value/totalWeight descending	Static	Local Research	0.344854
instance28	59804	descending	Static	Local Research	0.312418
instance29	57537	ratio value/totalWeight descending	Dynamic	Local Research	0.343036
instance30	58878	ratio value/totalWeight descending	Static	Local Research	0.296232
